tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
579,37:14.5,46:54.1,3639,Harborside,40.7192517,-74.034234,3205,JC Medical Center,40.71653978,-74.04963791,26297,Subscriber,1990,1
687,37:26.1,48:53.4,3187,Warren St,40.7211236,-74.03805095,3211,Newark Ave,40.72152515,-74.04630454,29475,Subscriber,1984,1
9987,39:28.6,25:56.1,3192,Liberty Light Rail,40.7112423,-74.0557013,3192,Liberty Light Rail,40.7112423,-74.0557013,29654,Customer,1954,1
516,39:57.6,48:33.7,3681,Grand St,40.71517768,-74.03768331,3199,Newport Pkwy,40.7287448,-74.0321082,29522,Subscriber,1988,1
937,40:46.1,56:23.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3186,Grove St PATH,40.71958612,-74.04311746,29254,Customer,1980,2
799,41:15.1,54:35.0,3679,Bergen Ave,40.72210379,-74.071455,3192,Liberty Light Rail,40.7112423,-74.0557013,29297,Customer,1959,2
448,41:17.9,48:46.0,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,29455,Subscriber,1985,2
1018,44:05.4,01:04.3,3199,Newport Pkwy,40.7287448,-74.0321082,3185,City Hall,40.7177325,-74.043845,29457,Customer,1969,0
387,44:42.8,51:10.4,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3220,5 Corners Library,40.73496102,-74.05950308,29492,Subscriber,1975,1
835,44:53.4,58:49.1,3199,Newport Pkwy,40.7287448,-74.0321082,3275,Columbus Drive,40.7183552,-74.03891444,29551,Customer,1992,1
1455,46:27.8,10:43.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.7287448,-74.0321082,29640,Customer,1969,0
532,46:34.8,55:27.1,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.7308971,-74.06391263,29472,Subscriber,1995,2
1396,47:10.5,10:27.2,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3199,Newport Pkwy,40.7287448,-74.0321082,29663,Customer,1969,0
727,48:11.6,00:19.2,3187,Warren St,40.7211236,-74.03805095,3483,Montgomery St,40.71942,-74.05099,29305,Customer,1970,2
692,48:39.5,00:11.7,3187,Warren St,40.7211236,-74.03805095,3483,Montgomery St,40.71942,-74.05099,26277,Subscriber,1979,1
287,48:43.3,53:30.4,3214,Essex Light Rail,40.7127742,-74.0364857,3275,Columbus Drive,40.7183552,-74.03891444,29544,Subscriber,1983,2
1342,48:46.9,11:08.9,3638,Washington St,40.7242941,-74.0354826,3214,Essex Light Rail,40.7127742,-74.0364857,26251,Customer,1982,2
745,48:51.7,01:17.5,3210,Pershing Field,40.74267714,-74.05178863,3270,Jersey & 6th St,40.72528911,-74.04557168,29461,Customer,1969,0
1313,49:04.3,10:58.0,3638,Washington St,40.7242941,-74.0354826,3214,Essex Light Rail,40.7127742,-74.0364857,29210,Customer,1978,1
285,49:21.4,54:06.6,3202,Newport PATH,40.7272235,-74.0337589,3275,Columbus Drive,40.7183552,-74.03891444,26292,Subscriber,1973,2
284,50:08.5,54:53.3,3202,Newport PATH,40.7272235,-74.0337589,3275,Columbus Drive,40.7183552,-74.03891444,26155,Subscriber,1992,2
317,51:11.8,56:29.8,3203,Hamilton Park,40.72759597,-74.04424731,3209,Brunswick St,40.7241765,-74.0506564,26181,Subscriber,1982,1
262,51:26.0,55:48.9,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,29495,Subscriber,1970,1
407,52:26.3,59:13.8,3220,5 Corners Library,40.73496102,-74.05950308,3270,Jersey & 6th St,40.72528911,-74.04557168,29206,Subscriber,1989,1
347,53:45.9,59:33.9,3199,Newport Pkwy,40.7287448,-74.0321082,3639,Harborside,40.7192517,-74.034234,29293,Subscriber,1988,2
216,55:08.8,58:44.9,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,26198,Subscriber,1985,1
527,55:32.6,04:19.7,3270,Jersey & 6th St,40.72528911,-74.04557168,3267,Morris Canal,40.71241882,-74.03852552,29504,Subscriber,1977,2
442,56:49.3,04:12.1,3185,City Hall,40.7177325,-74.043845,3184,Paulus Hook,40.7141454,-74.0335519,29281,Subscriber,1985,2
3557,58:03.4,57:20.6,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,29456,Subscriber,1994,1
6262,58:30.1,42:52.8,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,26286,Subscriber,1961,1
6241,58:37.5,42:38.8,3203,Hamilton Park,40.72759597,-74.04424731,3203,Hamilton Park,40.72759597,-74.04424731,29607,Customer,1969,0
3507,58:38.3,57:05.6,3276,Marin Light Rail,40.71458404,-74.04281706,3276,Marin Light Rail,40.71458404,-74.04281706,29586,Customer,1969,0
248,59:12.1,03:20.6,3211,Newark Ave,40.72152515,-74.04630454,3269,Brunswick & 6th,40.72601173,-74.05038893,29620,Subscriber,1986,2
711,59:33.0,11:24.1,3273,Manila & 1st,40.72165072,-74.04288411,3269,Brunswick & 6th,40.72601173,-74.05038893,26187,Subscriber,1968,1
684,00:40.1,12:04.8,3210,Pershing Field,40.74267714,-74.05178863,3225,Baldwin at Montgomery,40.7236589,-74.0641943,29505,Subscriber,1994,2
218,01:37.3,05:15.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3214,Essex Light Rail,40.7127742,-74.0364857,29550,Subscriber,1992,1
213,04:53.9,08:27.6,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,26228,Subscriber,1995,1
784,04:59.9,18:04.6,3275,Columbus Drive,40.7183552,-74.03891444,3275,Columbus Drive,40.7183552,-74.03891444,26155,Customer,1991,2
